year,home sales (millions),GDP grow
2005,7.08,2.782810626
2006,6.52,2.010507552
2007,5.02,0.122188443
2008,4.12,-2.599888351
2009,4.34,2.708856694
2010,4.18,1.54989495
2011,4.26,2.280687603
2012,4.66,1.841875395
2013,5.09,2.287775933
2014,4.94,2.706369582
2015,5.25,1.667472076
2016,5.45,2.255680481
2017,5.51,2.918856897
2018,5.34,2.288869868
2019,5.34,-3.404589652
,,
,,
,,
,,
