Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,22/12/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Belgium,BEL,Statistical Capacity Score (Overall Average) (scale 0 - 100),IQ.SCI.OVRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benin,BEN,Statistical Capacity Score (Overall Average) (scale 0 - 100),IQ.SCI.OVRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.33333333,56.66666667,54.44444444,57.77777778,56.66666667,56.66666667,55.55555556,58.88888889,57.77777778,66.66666667,65.55555556,66.66666667,73.33336667,73.33336667,63.33336667,68.88893333,62.22226667,
Burkina Faso,BFA,Statistical Capacity Score (Overall Average) (scale 0 - 100),IQ.SCI.OVRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.77777778,66.66666667,66.66666667,64.44444444,63.33333333,60,62.22222222,65.55555556,71.11111111,70,71.11111111,67.7778,74.44446667,73.33336667,68.8889,62.22223333,67.7778,
Bangladesh,BGD,Statistical Capacity Score (Overall Average) (scale 0 - 100),IQ.SCI.OVRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,72.22222222,75.55555556,75.55555556,66.66666667,65.55555556,68.88888889,68.88888889,65.55555556,65.55555556,80,76.6667,74.44443333,70.00003333,62.22223333,62.22223333,60,
Bulgaria,BGR,Statistical Capacity Score (Overall Average) (scale 0 - 100),IQ.SCI.OVRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.66666667,86.66666667,93.33333333,93.33333333,94.44444444,91.11111111,91.11111111,91.11111111,91.11111111,85.55555556,84.44444444,84.44443333,84.44443333,87.77776667,90,87.7778,85.55556667,
Bahrain,BHR,Statistical Capacity Score (Overall Average) (scale 0 - 100),IQ.SCI.OVRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bahamas, The",BHS,Statistical Capacity Score (Overall Average) (scale 0 - 100),IQ.SCI.OVRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,BIH,Statistical Capacity Score (Overall Average) (scale 0 - 100),IQ.SCI.OVRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,52.22222222,55.55555556,55.55555556,56.66666667,57.77777778,62.22222222,67.77777778,68.88888889,68.88888889,72.22222222,67.7778,72.22226667,65.55556667,71.11113333,64.44446667,60,
Belarus,BLR,Statistical Capacity Score (Overall Average) (scale 0 - 100),IQ.SCI.OVRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,83.33333333,80,83.33333333,83.33333333,84.44444444,85.55555556,85.55555556,86.66666667,86.66666667,87.77777778,87.77776667,87.77776667,87.77776667,81.1111,86.66666667,83.33333333,
Belize,BLZ,Statistical Capacity Score (Overall Average) (scale 0 - 100),IQ.SCI.OVRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.66666667,65.55555556,62.22222222,61.11111111,62.22222222,61.11111111,56.66666667,58.88888889,57.77777778,55.55555556,54.44446667,62.22223333,62.22223333,63.33333333,63.33333333,58.8889,
