 ,location,date,new_cases
243,China,21/09/2020,31
244,China,22/09/2020,25
245,China,23/09/2020,22
246,China,24/09/2020,28
247,China,25/09/2020,32
248,China,26/09/2020,44
249,China,27/09/2020,42
250,China,28/09/2020,26
251,China,29/09/2020,43
252,China,30/09/2020,29
253,China,01/10/2020,22
254,China,02/10/2020,42
255,China,03/10/2020,27
256,China,04/10/2020,41
257,China,05/10/2020,39
258,China,06/10/2020,37
259,China,07/10/2020,29
260,China,08/10/2020,28
261,China,09/10/2020,30
262,China,10/10/2020,60
263,China,11/10/2020,48
264,China,12/10/2020,38
265,China,13/10/2020,33
266,China,14/10/2020,22
267,China,15/10/2020,45
268,China,16/10/2020,21
269,China,17/10/2020,23
270,China,18/10/2020,47
271,China,19/10/2020,52
272,China,20/10/2020,33
273,China,21/10/2020,26
274,China,22/10/2020,42
275,China,23/10/2020,39
276,China,24/10/2020,40
277,China,25/10/2020,35
278,China,26/10/2020,175
279,China,27/10/2020,90
280,China,28/10/2020,61
281,China,29/10/2020,17
282,China,30/10/2020,86
283,China,31/10/2020,53
284,China,01/11/2020,90
285,China,02/11/2020,77
286,China,03/11/2020,69
287,China,04/11/2020,151
288,China,05/11/2020,50
289,China,06/11/2020,56
290,China,07/11/2020,53
291,China,08/11/2020,66
292,China,09/11/2020,30
293,China,10/11/2020,41
294,China,11/11/2020,28
295,China,12/11/2020,9
296,China,13/11/2020,32
297,China,14/11/2020,19
298,China,15/11/2020,10
299,China,16/11/2020,27
300,China,17/11/2020,18
301,China,18/11/2020,15
302,China,19/11/2020,23
303,China,20/11/2020,29
304,China,21/11/2020,35
305,China,22/11/2020,21
306,China,23/11/2020,31
307,China,24/11/2020,7
308,China,25/11/2020,26
309,China,26/11/2020,6
310,China,27/11/2020,14
311,China,28/11/2020,14
312,China,29/11/2020,27
313,China,30/11/2020,27
314,China,01/12/2020,9
315,China,02/12/2020,19
316,China,03/12/2020,22
317,China,04/12/2020,27
318,China,05/12/2020,29
319,China,06/12/2020,11
320,China,07/12/2020,20
321,China,08/12/2020,16
322,China,09/12/2020,12
323,China,10/12/2020,18
324,China,11/12/2020,18
325,China,12/12/2020,39
326,China,13/12/2020,25
327,China,14/12/2020,25
328,China,15/12/2020,17
329,China,16/12/2020,15
330,China,17/12/2020,18
331,China,18/12/2020,27
332,China,19/12/2020,39
333,China,20/12/2020,32
334,China,21/12/2020,29
335,China,22/12/2020,30
336,China,23/12/2020,30
337,China,24/12/2020,27
338,China,25/12/2020,36
339,China,26/12/2020,41
340,China,27/12/2020,35
341,China,28/12/2020,43
342,China,29/12/2020,25
343,China,30/12/2020,38
344,China,31/12/2020,22
345,China,01/01/2021,36
346,China,02/01/2021,47
347,China,03/01/2021,36
348,China,04/01/2021,69
349,China,05/01/2021,64
350,China,06/01/2021,119
351,China,07/01/2021,128
352,China,08/01/2021,85
353,China,09/01/2021,106
354,China,10/01/2021,97
355,China,11/01/2021,100
356,China,12/01/2021,191
357,China,13/01/2021,134
358,China,14/01/2021,212
359,China,15/01/2021,176
360,China,16/01/2021,168
361,China,17/01/2021,196
362,China,18/01/2021,172
363,China,19/01/2021,134
364,China,20/01/2021,163
365,China,21/01/2021,167
366,China,22/01/2021,199
367,China,23/01/2021,149
368,China,24/01/2021,195
369,China,25/01/2021,42
370,China,26/01/2021,97
371,China,27/01/2021,112
372,China,28/01/2021,69
373,China,29/01/2021,82
374,China,30/01/2021,101
375,China,31/01/2021,3
376,China,01/02/2021,41
377,China,02/02/2021,34
378,China,03/02/2021,32
379,China,04/02/2021,26
380,China,05/02/2021,37
381,China,06/02/2021,20
382,China,07/02/2021,25
383,China,08/02/2021,30
384,China,09/02/2021,28
385,China,10/02/2021,6
386,China,11/02/2021,28
387,China,12/02/2021,12
388,China,13/02/2021,20
389,China,14/02/2021,25
390,China,15/02/2021,23
391,China,16/02/2021,16
392,China,17/02/2021,16
393,China,18/02/2021,30
394,China,19/02/2021,16
395,China,20/02/2021,18
