LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,GDP per cap,Flag Codes,TIME,Hours worked,LOCATION
JPN,HRWKD,TOT,HR_WKD,A,2017,1708.580315,,2017,101.057367,JPN
JPN,HRWKD,TOT,HR_WKD,A,2018,1680.167068,,2018,101.582134,JPN
JPN,HRWKD,TOT,HR_WKD,A,2019,1643.81852,,2019,102.659468,JPN
JPN,HRWKD,TOT,HR_WKD,A,2020,1597.981379,,2020,101.361752,JPN
JPN,HRWKD,TOT,HR_WKD,A,2021,1607,,2021,102.430048,JPN
KOR,HRWKD,TOT,HR_WKD,A,2017,2018,,2017,107.376218,KOR
KOR,HRWKD,TOT,HR_WKD,A,2018,1993,,2018,111.478289,KOR
KOR,HRWKD,TOT,HR_WKD,A,2019,1967,,2019,114.112628,KOR
KOR,HRWKD,TOT,HR_WKD,A,2020,1908,,2020,117.754902,KOR
KOR,HRWKD,TOT,HR_WKD,A,2021,1915,,2021,120.511819,KOR
LUX,HRWKD,TOT,HR_WKD,A,2017,1508,,2017,100.480067,LUX
LUX,HRWKD,TOT,HR_WKD,A,2018,1509,,2018,98.797902,LUX
LUX,HRWKD,TOT,HR_WKD,A,2019,1507,,2019,98.039568,LUX
LUX,HRWKD,TOT,HR_WKD,A,2020,1420,,2020,101.325215,LUX
LUX,HRWKD,TOT,HR_WKD,A,2021,1382,,2021,99.250677,LUX
MEX,HRWKD,TOT,HR_WKD,A,2017,2148.538495,,2017,102.218626,MEX
MEX,HRWKD,TOT,HR_WKD,A,2018,2149.408162,,2018,101.510081,MEX
MEX,HRWKD,TOT,HR_WKD,A,2019,2138.889734,,2019,99.09816,MEX
MEX,HRWKD,TOT,HR_WKD,A,2020,2123.537252,,2020,98.491479,MEX
MEX,HRWKD,TOT,HR_WKD,A,2021,2127.807987,,2021,95.024673,MEX
NLD,HRWKD,TOT,HR_WKD,A,2017,1436.765644,,2017,100.387115,NLD
NLD,HRWKD,TOT,HR_WKD,A,2018,1436.060162,,2018,100.064801,NLD
NLD,HRWKD,TOT,HR_WKD,A,2019,1438.520121,,2019,99.395132,NLD
NLD,HRWKD,TOT,HR_WKD,A,2020,1406.867037,,2020,98.314715,NLD
NLD,HRWKD,TOT,HR_WKD,A,2021,1416.542666,,2021,99.810204,NLD
NZL,HRWKD,TOT,HR_WKD,A,2017,1756,,2017,99.077407,NZL
NZL,HRWKD,TOT,HR_WKD,A,2018,1759,,2018,101.205904,NZL
NZL,HRWKD,TOT,HR_WKD,A,2019,1783,,2019,100.658257,NZL
NZL,HRWKD,TOT,HR_WKD,A,2020,1739,,2020,102.090865,NZL
NZL,HRWKD,TOT,HR_WKD,A,2021,1730,,2021,104.135974,NZL
NOR,HRWKD,TOT,HR_WKD,A,2017,1419.5,,2017,102.518137,NOR
NOR,HRWKD,TOT,HR_WKD,A,2018,1419.2,,2018,102.017169,NOR
NOR,HRWKD,TOT,HR_WKD,A,2019,1418.6,,2019,101.245155,NOR
NOR,HRWKD,TOT,HR_WKD,A,2020,1410.7,,2020,102.662632,NOR
NOR,HRWKD,TOT,HR_WKD,A,2021,1427.1,,2021,104.135387,NOR
POL,HRWKD,TOT,HR_WKD,A,2017,1811.616217,,2017,106.982369,POL
POL,HRWKD,TOT,HR_WKD,A,2018,1787.328604,,2018,114.261674,POL
POL,HRWKD,TOT,HR_WKD,A,2019,1782.625219,,2019,119.703575,POL
POL,HRWKD,TOT,HR_WKD,A,2020,1768.756397,,2020,118.207222,POL
POL,HRWKD,TOT,HR_WKD,A,2021,1830.236807,,2021,120.287536,POL
PRT,HRWKD,TOT,HR_WKD,A,2017,1727.140473,,2017,100.8779,PRT
PRT,HRWKD,TOT,HR_WKD,A,2018,1737.703752,,2018,100.783377,PRT
PRT,HRWKD,TOT,HR_WKD,A,2019,1743.930319,,2019,102.31032,PRT
PRT,HRWKD,TOT,HR_WKD,A,2020,1611.193462,,2020,103.462833,PRT
PRT,HRWKD,TOT,HR_WKD,A,2021,1648.942749,,2021,104.480653,PRT
SVK,HRWKD,TOT,HR_WKD,A,2017,1713.783841,,2017,102.645876,SVK
SVK,HRWKD,TOT,HR_WKD,A,2018,1703.923961,,2018,105.286173,SVK
SVK,HRWKD,TOT,HR_WKD,A,2019,1691.986308,,2019,107.576441,SVK
SVK,HRWKD,TOT,HR_WKD,A,2020,1571.980392,,2020,114.032204,SVK
SVK,HRWKD,TOT,HR_WKD,A,2021,1583.159408,,2021,117.322302,SVK
ESP,HRWKD,TOT,HR_WKD,A,2017,1692.4,,2017,101.334899,ESP
ESP,HRWKD,TOT,HR_WKD,A,2018,1697.621952,,2018,101.103306,ESP
ESP,HRWKD,TOT,HR_WKD,A,2019,1682.936419,,2019,101.664137,ESP
ESP,HRWKD,TOT,HR_WKD,A,2020,1569.672186,,2020,101.697456,ESP
ESP,HRWKD,TOT,HR_WKD,A,2021,1640.9407,,2021,100.116692,ESP
SWE,HRWKD,TOT,HR_WKD,A,2017,1466.709105,,2017,100.270459,SWE
SWE,HRWKD,TOT,HR_WKD,A,2018,1466.180587,,2018,100.637005,SWE
SWE,HRWKD,TOT,HR_WKD,A,2019,1453.423602,,2019,102.934086,SWE
SWE,HRWKD,TOT,HR_WKD,A,2020,1426.155443,,2020,104.029507,SWE
SWE,HRWKD,TOT,HR_WKD,A,2021,1444.285085,,2021,106.659194,SWE
CHE,HRWKD,TOT,HR_WKD,A,2017,1559.090253,,2017,102.456507,CHE
CHE,HRWKD,TOT,HR_WKD,A,2018,1551.415719,,2018,104.878716,CHE
CHE,HRWKD,TOT,HR_WKD,A,2019,1549.434679,,2019,105.533024,CHE
CHE,HRWKD,TOT,HR_WKD,A,2020,1498.499791,,2020,106.999896,CHE
CHE,HRWKD,TOT,HR_WKD,A,2021,1533.304158,,2021,108.243419,CHE
TUR,HRWKD,TOT,HR_WKD,A,2017,1775.492177,,2017,107.118185,TUR
TUR,HRWKD,TOT,HR_WKD,A,2018,1745.190881,,2018,109.819438,TUR
TUR,HRWKD,TOT,HR_WKD,A,2019,1732.087617,,2019,114.002844,TUR
TUR,HRWKD,TOT,HR_WKD,A,2020,1572.391596,,2020,134.316255,TUR
GBR,HRWKD,TOT,HR_WKD,A,2017,1535.679598,,2017,101.429445,GBR
GBR,HRWKD,TOT,HR_WKD,A,2018,1536.175707,,2018,101.908738,GBR
GBR,HRWKD,TOT,HR_WKD,A,2019,1537.043278,,2019,102.375673,GBR
GBR,HRWKD,TOT,HR_WKD,A,2020,1363.767235,,2020,103.558338,GBR
GBR,HRWKD,TOT,HR_WKD,A,2021,1497.375463,,2021,101.732968,GBR
USA,HRWKD,TOT,HR_WKD,A,2017,1777.570667,,2017,101.201253,USA
USA,HRWKD,TOT,HR_WKD,A,2018,1781.567167,,2018,102.3422,USA
USA,HRWKD,TOT,HR_WKD,A,2019,1777.241,,2019,103.581713,USA
USA,HRWKD,TOT,HR_WKD,A,2020,1767.095,,2020,107.111176,USA
USA,HRWKD,TOT,HR_WKD,A,2021,1791,,2021,108.386615,USA
CHL,HRWKD,TOT,HR_WKD,A,2017,1963.1,,2017,101.095528,CHL
CHL,HRWKD,TOT,HR_WKD,A,2018,1955.5,,2018,103.238007,CHL
CHL,HRWKD,TOT,HR_WKD,A,2019,1929.5,,2019,103.176421,CHL
CHL,HRWKD,TOT,HR_WKD,A,2020,1825.3,,2020,116.642176,CHL
CHL,HRWKD,TOT,HR_WKD,A,2021,1915.6,,2021,118.191223,CHL
