Location,TIME,GDP/hourworked,Hours worked/week
BEL,1993,56,1558.6
BEL,1994,58,1558.6
BEL,1995,59,1578
BEL,1996,59,1575
BEL,1997,61,1582
BEL,1998,61,1574
BEL,1999,63,1575
BEL,2000,63,1589
BEL,2001,63,1581
BEL,2002,64,1594
BEL,2003,64,1598
BEL,2004,66,1588
BEL,2005,67,1578
BEL,2006,68,1592
BEL,2007,69,1594
BEL,2008,68,1582
BEL,2009,68,1563
BEL,2010,69,1574
BEL,2011,69,1590
BEL,2012,69,1587
BEL,2013,70,1586
BEL,2014,71,1582
BEL,2015,72,1575
BEL,2016,72,1574
BEL,2017,72,1578
BEL,2018,72,1580
BEL,2019,72,1577
BEL,2020,75,1443
CAN,2021,74,1493.126386
CAN,1970,29,1925
CAN,1971,29,1912
CAN,1972,30,1904
CAN,1973,31,1898
CAN,1974,31,1891
CAN,1975,31,1872
CAN,1976,33,1862
CAN,1977,34,1834
CAN,1978,34,1836
CAN,1979,34,1841
CAN,1980,34,1827
CAN,1981,34,1812
CAN,1982,35,1789
CAN,1983,36,1779
CAN,1984,37,1789
CAN,1985,37,1795
CAN,1986,37,1797
CAN,1987,37,1807
CAN,1988,37,1808
CAN,1989,37,1802
CAN,1990,37,1797
CAN,1991,38,1775
CAN,1992,38,1772
CAN,1993,39,1769
CAN,1994,40,1778
CAN,1995,40,1775
CAN,1996,40,1790
CAN,1997,41,1798
CAN,1998,42,1794
CAN,1999,43,1793
CAN,2000,44,1787
CAN,2001,45,1774
CAN,2002,46,1755
CAN,2003,46,1745
CAN,2004,46,1755
CAN,2005,47,1745
CAN,2006,48,1744
CAN,2007,48,1744
CAN,2008,48,1741
CAN,2009,48,1712
CAN,2010,48,1715
CAN,2011,49,1713
CAN,2012,49,1722
CAN,2013,50,1716
CAN,2014,51,1710
CAN,2015,51,1712
CAN,2016,52,1706
CAN,2017,52,1695
CAN,2018,52,1708
CAN,2019,53,1690
CAN,2020,57,1644
CZE,2021,54,1684.9984
CZE,1993,22,1857
CZE,1994,22,1839
CZE,1995,24,1831.673536
CZE,1996,24,1829.378306
CZE,1997,24,1837.918675
CZE,1998,24,1860.876878
CZE,1999,25,1890.601102
CZE,2000,26,1900.259727
CZE,2001,28,1823.32334
CZE,2002,28,1812.215001
CZE,2003,30,1799.047882
CZE,2004,31,1813.655779
CZE,2005,33,1802.926072
CZE,2006,35,1789.228934
CZE,2007,36,1775.017312
CZE,2008,36,1789.614454
CZE,2009,35,1778.801002
CZE,2010,36,1799.099746
CZE,2011,37,1805.47337
CZE,2012,37,1776.448316
CZE,2013,37,1764.302008
CZE,2014,37,1773.81181
CZE,2015,39,1751.474214
CZE,2016,39,1774.046355
CZE,2017,41,1776.447703
CZE,2018,41,1784.666363
CZE,2019,42,1786.033445
CZE,2020,43,1703.596535
DNK,2021,43,1752.820633
DNK,1970,27,1845
DNK,1971,29,1810
DNK,1972,30,1752
DNK,1973,32,1710
DNK,1974,32,1691
DNK,1975,34,1617
DNK,1976,35,1624
DNK,1977,36,1598
DNK,1978,37,1575
DNK,1979,38,1564
DNK,1980,38,1577
DNK,1981,39,1546
DNK,1982,40,1553
DNK,1983,42,1546
DNK,1984,43,1541
DNK,1985,44,1527
DNK,1986,45,1531
DNK,1987,46,1493
DNK,1988,47,1471
DNK,1989,48,1455
DNK,1990,49,1440.502489
DNK,1991,50,1437.314048
DNK,1992,51,1452.364914
DNK,1993,52,1448.921453
DNK,1994,55,1406.661322
DNK,1995,56,1419.144508
DNK,1996,58,1412.264511
DNK,1997,58,1428.092125
DNK,1998,58,1441.133385
DNK,1999,59,1456.497788
DNK,2000,60,1465.937777
DNK,2001,60,1468.675527
DNK,2002,60,1462.584584
DNK,2003,61,1457.827425
DNK,2004,63,1458.073949
DNK,2005,64,1451.362353
DNK,2006,65,1455.703341
DNK,2007,65,1432.769768
DNK,2008,64,1430.055086
DNK,2009,63,1417.029885
DNK,2010,66,1422.308398
DNK,2011,66,1436.981183
DNK,2012,67,1423.346283
DNK,2013,68,1425.633575
DNK,2014,69,1413.807215
DNK,2015,70,1407.149104
DNK,2016,71,1412.044769
DNK,2017,72,1404.204328
DNK,2018,74,1381.28889
DNK,2019,74,1371.498811
DNK,2020,75,1342.327019
FIN,2021,76,1363.430754
FIN,1970,18,1918
FIN,1971,19,1884
FIN,1972,20,1869
FIN,1973,21,1853
FIN,1974,22,1848
FIN,1975,23,1779
FIN,1976,24,1776
FIN,1977,24,1769
FIN,1978,25,1774
FIN,1979,27,1751
FIN,1980,28,1732
FIN,1981,28,1726
FIN,1982,29,1719
FIN,1983,30,1709
FIN,1984,31,1705
