Source,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
World bank,CHN,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,67,65.5,62.7,61.6,57.2,48.1,47.9,47.5,46,39.9,37.8,36.5,25.2,34.4,22.1,20.2,19,18,15.3,13.9,10.2,8.5,2.9,2.1,1.2,0.8,0.7,0.4,0.1,,
Chinese statistical yearbook,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.4,10.4,8.8,8,7.7,7.1,6.1,5.4,4.6,3.7,3.5,3.2,3,3.1,2.8,2.5,2.3,1.6,4.2,3.8,2.8,12.7,10.2,8.5,7.2,5.7,4.5,3.1,1.7,,,
